昵称,点赞数,时间,评论
狼魂,0,2024/7/17 23:36,[赞][赞][赞]
Hand sand,0,2024/7/17 23:35,别激动！大部分网约车司机心里都有数的，就像大部分外卖员一样，他们心里都清楚这份工作不能太久！我曾经就是一名外卖员
光辉岁月80,0,2024/7/17 23:35,有些人你不让他沾点便宜比掘了他的祖坟还难受
Ada Wong,0,2024/7/17 23:35,地址百度你我做起
小果菜,0,2024/7/17 23:34,本来的士和网约车一直在互掐，突然来个傻萝卜，阵线迅速改变[捂脸]
珠海房产安个家二家店（在卖房十年唐店长）,0,2024/7/17 23:32,交警用数据一动，全违章
八零后大脸猫,0,2024/7/17 23:31,多少人失业，多少人能少花钱打车
八零后大脸猫,0,2024/7/17 23:30,因为你也焦虑了吧
私厨服务～～胡掌柜,0,2024/7/17 23:27,资本太可怕了
风逍遥！任飘渺,0,2024/7/17 23:24,1000万师傅联合起来干不过无人汽车？
努力奔跑,0,2024/7/17 23:22,
阳光,0,2024/7/17 23:22,有关不能为啥不引进那？
昵称过于强大无法显示,0,2024/7/17 23:19,人口大国，喜欢整无人的东西[宕机]
青禾广告,0,2024/7/17 23:16,麻烦先从公务车自动驾驶开始，别从出租车开始
一袋米要扛几楼,0,2024/7/17 23:15,打倒百度，从我做起，我是谁？我就是你
老车,0,2024/7/17 23:15,出租车司机的素质有待提升，从自己作起。
置业顾问 小伟,0,2024/7/17 23:13,说得对，很对
Sheridan,0,2024/7/17 23:12,资本家在推动出行市场的垄断
小军军,0,2024/7/17 23:10,说的太好了，
骚骚,0,2024/7/17 23:05,你想多了
仰天长啸,0,2024/7/17 23:03,科技革命比的就是速度，你不快步跑，美国就要跑在前面去了。美国跑到前面去后，他就能降低人工成本，就能实现制造业回流，最后中国将会失去更多的就业机会。科技革命是国与国之间的比拼，早已不是某类群体的比拼了。
诚歌.,0,2024/7/17 23:02,无人驾驶[赞][赞][赞]
诚歌.,0,2024/7/17 23:00,5G不靠谱
行舟绿水前,0,2024/7/17 22:58,国内的技术擅长应用，擅长抢别人的蛋糕，让他到国际上，前沿领域碰碰头，做大蛋糕，做新蛋糕就不行[捂脸]
沧海一粟,0,2024/7/17 22:58,这是为了保护驾驶员
窜天的侯,0,2024/7/17 22:55,依靠电磁信号传输 就一定会被某种技术干扰 战时或不可抗力的时候 怎么应对？
仁山智水,0,2024/7/17 22:53,你小子还急眼了
苏连柴油机,0,2024/7/17 22:50,[赞][赞]
super小白龙,0,2024/7/17 22:50,格局打开，建议看看源哥言商最新一期
疯掉的成成,0,2024/7/17 22:49,网上不管持什么态度的网民大多数都不是武汉人，甚至都没见过无人车。作为高科技公司的老板为了赚钱也无可厚非，毕竟科技发展已经到这种程度了。那到底是谁该为那些出租司机的饭碗负责，谁支持和允许无人驾驶落地的，他们会不知道你说的这些？
米斯特庄,0,2024/7/17 22:49,相比较私家车而言，无人出租车的变现模式更符合资本的胃口，话虽然不好听，却也是残酷的现实
音乐厅,0,2024/7/17 22:47,好事    少生优生幸福一生[捂脸]
小冯影视,0,2024/7/17 22:47,本来就应该取缔无人驾驶
好紧张,0,2024/7/17 22:46,好好好，越讨论，热度越高，我怀疑网约车可能有二波[看]
高大聪明,0,2024/7/17 22:42,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！
安 稳,0,2024/7/17 22:42,闲人一多就是王侯将相，宁有种乎
梦中的公主324,0,2024/7/17 22:41,现在年轻人不生孩子真的对了，以后让有钱人生孩子，让机器人给他们工作吧
首尔猫,0,2024/7/17 22:41,我只想说我赶时间萝卜能快吗[抠鼻]它能开到七八十码吗[抠鼻]
鼎公子??情感世界,0,2024/7/17 22:40,私家车也无人驾驶吧
请叫我政哥,0,2024/7/17 22:39,有什么用，又不听你的
辽阔,0,2024/7/17 22:35,"要么取消营运证，出租车管理费，
要么对无人出租收取管理费，办营运证，
避免不公平竞争。"
杨过,0,2024/7/17 22:33,说的好支持主播发声[赞][赞][赞][赞][赞]
孙修锋,0,2024/7/17 22:30,抢占出租车市场将来是有盈利的
随波,0,2024/7/17 22:29,科普没学好，5G能用在自动驾驶吗？没做好准备的话，加入世贸的时候，也有好多老爷子在那里哭着喊着叫过
不惑青春,0,2024/7/17 22:29,人是有感情的，有些东西是没感情的，人离开了感情，还是人吗？
娃娃峤呀,0,2024/7/17 22:28,有那心思为啥不搞搞科学研发？现在这病有多少治不好的？资本真的没人性？就任钱吗？[流泪]
逆向思维,0,2024/7/17 22:28,
烟聪??,0,2024/7/17 22:28,已经不用那个啥地图和搜索引擎了[笑哭]
日月星辰（修.知行.恒）,0,2024/7/17 22:25,人解放了但没收入，最终无人技术真的实现城市无居住人！有意思吗[捂脸]
维阿布鹿,0,2024/7/17 22:24,文龙事件怎么看[泪奔]
浮华,0,2024/7/17 22:21,这才是说真话的，不像好多被充值的狗
江南雨季,0,2024/7/17 22:19,萝卜快跑到底投入多大的资本，那么多网络大V给宣传，连时尚主播美妆主播都上了？？资本力量真大
KING,0,2024/7/17 22:16,自寻死路
腾益园林,0,2024/7/17 22:16,投放前先把出租车收购了
华夏—往尘,0,2024/7/17 22:15,在啥无人网约车？弄无人机关单位办公不好吗？
东路暖阳,0,2024/7/17 22:13,网约车不会受影响，因为他们有优质服务。出租车这个行业就让它死了吧，没有任何优点，全是缺点。
正义会来,0,2024/7/17 22:13,[赞][赞][赞]
紫藤姐,0,2024/7/17 22:12,强烈支持主播[赞][赞][赞][赞]
一生无悔,0,2024/7/17 22:10,才多少年就要完了[流泪]
纵横天涯,0,2024/7/17 22:09,这个车想搞谁就搞谁
陌生人的点赞9238315270143,0,2024/7/17 22:09,让有钱的人更赚钱，让没钱的人无钱可赚。
隆玛-牛九,0,2024/7/17 22:06,关注了。
小锅酒,0,2024/7/17 22:04,让欧美来中国卖无人驾驶！
道友请留步,0,2024/7/17 22:03,你说的是完全对吗
Clement,0,2024/7/17 22:02,他的根本目的倒不是要去跟司机师傅挣那三瓜俩枣，纯粹的资本运作[发怒]
贴地飞行80/km,0,2024/7/17 21:59,这么牛的技术， 为什么不卖给女司机啊？ 女司机又有钱， 又没技术。 真的很适合女司机啊 。 [看]
抖个屁！,0,2024/7/17 21:55,对个人利益来说，这都是不可避免的。
波波侠,0,2024/7/17 21:55,钱都集中到大公司了，下岗，不赚钱，也不花钱了，咱们回农村不行吗，种地够吃就行，看这些大资本能赚谁的钱。
流星??,0,2024/7/17 21:48,以后都不生孩子了，生了也没岗位
爩麤齉灪韽龖齺騳鸜騱虋钃麣鞻顟饙虪飝讞靐,0,2024/7/17 21:47,无人驾驶不安全，它玩不过老司机[抠鼻][捂脸][捂脸][捂脸][捂脸]
阳光,0,2024/7/17 21:46,无人驾驶只能算个软件，算不得科技
风流才子小熊猫,0,2024/7/17 21:45,我打车都不想打新能源车，更别说无人驾驶车了，可能我的心态跟不上时代吧，总觉得不安全
饶文龙2,0,2024/7/17 21:45,建议博主去朝鲜工作，没有机器，都有活干
饶文龙2,0,2024/7/17 21:44,支持ai
香蕉,0,2024/7/17 21:41,听的烦死了 反对无效
海林市她他时尚造型店,0,2024/7/17 21:40,啥都人工智能，那我想问，还要人干啥？
与这个纯净的世界相遇,0,2024/7/17 21:36,请无人驾驶网约车把工作岗位还给人民，科技技术应该解决高端的人类无法完成的工作，而不是和人民抢岗位，请取消无人驾驶网约车，把司机这个岗位还给普通老百姓
白洋淀淀北小院老杨旅游船,0,2024/7/17 21:34,白洋淀欢迎你来[鼓掌]
山清水秀,0,2024/7/17 21:33,为点赞，你太棒了，说的好用私家车上，
绿藻头先生,0,2024/7/17 21:32,好奥？作为一个消费者来说我肯定支持啊，更安全耿实惠啊
襄阳·华艺空间灯饰,0,2024/7/17 21:31,因为没有动它们的蛋糕
林341,0,2024/7/17 21:28,中国都是资本家在控制，唉
大尘,0,2024/7/17 21:28,家没了，还有国吗？？？？
壮骨粉,0,2024/7/17 21:24,可以让无人驾驶车和出租车一样的价格，美国就是这样实行的，
dillon,0,2024/7/17 21:23,@TT很帅
天空最遥远的星,0,2024/7/17 21:20,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
明天更好666,0,2024/7/17 21:18,等私家车自动驾驶搞明白了再搞出租车
心湛,0,2024/7/17 21:15,你是懂流量蹭流量，人云亦云的[尬笑]
屠,0,2024/7/17 21:14,大孝子[看]
我家小苹果,0,2024/7/17 21:13,[赞][赞][赞][赞][赞][赞][赞]
境由心生,0,2024/7/17 21:12,"因为股东是犹太财团，目的是拉爆中国经济。
这个车就是拉爆就业。"
神雕大人,0,2024/7/17 21:09,你是智者。
用户6921133247022,0,2024/7/17 21:05,不支持资本[比心]
王玉龙??,0,2024/7/17 20:59,哎！！！只是与马斯克提前抢市场！
第二曲线,0,2024/7/17 20:58,目前的就业状况，真的不适宜无人出租车入场。
剑气520,0,2024/7/17 20:58,让智能驾驶更安全、高效
@古,0,2024/7/17 20:58,顺其自然，顺势而为
76126945067,0,2024/7/17 20:57,人家外国为啥不搞这些?人家难道技术不行吗？
老三,0,2024/7/17 20:56,时代的进步啊，势不可档。
?大雄,0,2024/7/17 20:55,有些人可以通过无人驾驶车辆，去抹杀那些不听话的刁民。。
あに好運,0,2024/7/17 20:55,失业率的高低和社会稳定息息相关
星营扎寨???,0,2024/7/17 20:51,哪家车企
狸栖丶,0,2024/7/17 20:51,反对的人建议直接要求恢复八抬大轿，那个就业岗位更多，一个轿子八个人
督府北京烤鸭天洁店,0,2024/7/17 20:50,如果国家管着，你说资本会不会出来个无老师学校，讲课用无人？
沁馨幽蘭,0,2024/7/17 20:49,老百姓没事做[捂脸][捂脸][捂脸]这样很危险，社会安定会不会受影响。
深情无意,0,2024/7/17 20:49,车行要遭殃了[衰]
??倩??女??,0,2024/7/17 20:48,箩卜快跑，现在便宜打开市场，以后你们习惯了，就不会在便宜了[呲牙]
安于磐石,0,2024/7/17 20:42,李艳红是日本????人？
用户7086911060774,0,2024/7/17 20:38,最后一句我听懂了，不让我吃饭，就别逼我们反这社会规则。
梦 琪,0,2024/7/17 20:38,司机家属感谢您
境随心变,0,2024/7/17 20:37,说的太棒了[赞]
塞外胡杨,0,2024/7/17 20:37,不是那个人能左右的
爱吃的迪迦,0,2024/7/17 20:37,那是因为赚钱的那个人不是你，按你这个说法汽车就不应该取代人力车，人力车背后的家庭更多，因为成本更低，为什么不直接回到黄包车时代？乘客的钱就不是钱？活该被司机宰？ai汽车也一样造就了一大批工程岗位
再也没有·??,0,2024/7/17 20:36,快车司机不肯开空调的时代要过去了[尬笑]
用户5855723835323,0,2024/7/17 20:35,这个时候你提到出租车，网约车用低廉价格合出租车抢客，这时候你上那去了。
红尘的粉丝,0,2024/7/17 20:32,支持你的说法，多少个家庭会没饭吃
三亚置业星仔,0,2024/7/17 20:29,都去种地捡饮料瓶去扫厕所去做公益，稳稳的，但凡有点蝇头小利，它们都不会放过吧[哈欠]
MOTO晓强,0,2024/7/17 20:29,自喷漆千万不要喷它摄像头，
用户5855723835323,0,2024/7/17 20:27,存在不可怕！可怕的是价格不统一，
你又脸红了,0,2024/7/17 20:27,偷换概念
GOODMEN,0,2024/7/17 20:23,无证营运？谁能管？谁敢罚？
科林尼,0,2024/7/17 20:18,时代的进步，科技的发展[赞]
、星河,0,2024/7/17 20:18,错了错了
澤僅旭,0,2024/7/17 20:17,5G 就真的超低延迟了吗[调皮]
猛力坚机械,0,2024/7/17 20:16,衡量的标准应该是:1.能不能解决社会痛点，2能不能创造足够数量直接或间接新的就业岗位  3符不符合未来发展趋势，4是不是独一无二的技术突破.5.国家试点之后才知道对错或适不适应现阶段
杰尼杰尼,0,2024/7/17 20:16,[白眼]周末刚刚从武汉旅游回来，体验了一次。步行去地铁站的时间15分钟左右。从我叫车到地铁站的时间花了20多分钟。全花在等车上了。而且目前来说真的不智能。真有急事还得是出租车最靠谱。网约车也不行，回来那天赶飞机网约车司机还不认识路，带着我绕圈子[流泪]
用户3776011059250,0,2024/7/17 20:14,来多少砸多少！
super言身寸,0,2024/7/17 20:10,私家车给你获取数据的权利吗？这还是在测试阶段，并不能作为一个合格产品销售。为什么以出租车来促成落地，我认为：1.乘客的路线充满不确定性，可以充分在不同路况环境测试，甚至可以得到乘客的反馈；2.可以收取部分费用，降低成本。
汤,0,2024/7/17 20:10,
曲奇灬饼干,0,2024/7/17 20:05,这个铁路和挑夫的例子跟你的观点好像是想法的，这个思考很有意思，但文案写的有点倒三颠四。。。
山翁??,0,2024/7/17 20:01,断电断网救都没得救
妖心,0,2024/7/17 19:58,无人驾驶先在高铁上实行
????小兵????,0,2024/7/17 19:55,首先关闭网店，我小店生意经营不下去了[捂脸]
周大猪,0,2024/7/17 19:55,可怕的不是车，是资本在运营
单开拉丝粉,0,2024/7/17 19:55,就应该这样，早就受够了出租车师傅的德行
乘风（手机摄影）,0,2024/7/17 19:52,为什么米国发达国家不用无人驾驶汽车呢！！！
80后不老,0,2024/7/17 19:43,净与老百姓抢饭吃
小祖,0,2024/7/17 19:40,武汉是座英雄的城市，口号是敢为人先，
??时某某,0,2024/7/17 19:38,用私家车测试？？？请问主播，你愿意去接受测试吗？净说废话。。
用户366529851415,0,2024/7/17 19:37,40年前的变革，真的成功了吗？
有梦想的咸鱼~,0,2024/7/17 19:34,等所有人都不开车了，电子脉冲弹一炮，整个城市瘫痪
随遇而安,0,2024/7/17 19:33,支持无人驾驶，你不做，别的国家做，你不就落后了吗
天炉公,0,2024/7/17 19:30,关键是，你这个国家——有“失业保险”垫底吗？！再找到下一个工作之前，你要把老子饿死吗？！
大卫?????????,0,2024/7/17 19:24,每3到5个无人驾驶车，后面就有一个人在网络之后盯梢着，并非是纯粹的无人驾驶。何况，在三四线城市或者小县城，根本就无法实现，毕竟这个成本是非常高的，所以杞人忧天的人太多了，老乡，你还是有点激进了，哈哈
ZGG9319,0,2024/7/17 19:21,网约车是由出租车开始的。新能源是由网约车开始的，无人驾驶是由网约车开始的。这说明了柿子要专挑软的捏
秦艾的,0,2024/7/17 19:19,国家保障体系发达，每月有固定收入，坚决支持！可是现实并非如此！
吴姐,0,2024/7/17 19:17,以后事故就多了，
用户7478801980059,0,2024/7/17 19:16,失业的越多越好有生之年还能有一次重来的机会
草莓果酱,0,2024/7/17 19:15,鼓励老百姓炒股，让老百姓都能挣到钱[捂脸][捂脸][捂脸][捂脸]
x?☆c,0,2024/7/17 19:15,你是文科生的话，那更应该知道，世界潮流浩浩荡荡，顺之者昌逆之者亡[暗中观察]
??TNing??,0,2024/7/17 19:14,三无产品就不应该上路
SDQ,0,2024/7/17 19:13,资本的驱动
稚初恋人,0,2024/7/17 19:12,[看]打车的人就活该花高价打车呗
锐者意,0,2024/7/17 19:07,有什么好担心的？萝卜快车就只能在中国几个特大城市的已采集高精地图的、各种车流人流少的、宽敞弯少的、各种交叉路口少的路况简单的专门专线道路上跑的，它离不开那条已规定的线路、距离和范围，且一个城市只有2、3、4条大道能开，但一个城市还有其它几百条大小不一、车流人流繁忙、路况复杂的主干道或大小道路它是无法开的！
理性思考L,0,2024/7/17 19:03,毫无底限
王木兰,0,2024/7/17 19:02,应该让萝卜快跑去重庆试点[捂脸]
理性思考L,0,2024/7/17 19:02,为了钱，不择手段
小陈和小邓同学,0,2024/7/17 19:02,百万漕工衣食所系[看]
沫然,0,2024/7/17 19:01,我是不是以后不用会开车，私家车都能无人驾驶吗
順其自然,0,2024/7/17 19:00,另有目地…[捂脸]
记录,0,2024/7/17 19:00,营运证有没有
“平凡”,0,2024/7/17 18:59,科技进步带来的涟漪
格自安好,0,2024/7/17 18:54,中国要那么多人干什么呀
妙剪时光廊,0,2024/7/17 18:51,这就是资本
海海＆人生,0,2024/7/17 18:50,说发展电商是为了让天下没有难做的生意，到头来是让天下没有生意可做
??? 封景如画???,0,2024/7/17 18:49,如果无人驾驶，人工智能取代了出租和岗位，到失业哪天，出现的新行业会不会是打劫？会不会是人吃人？因为没收入吃不上饭啦[捂脸]
用户5227572841723,0,2024/7/17 18:48,别人不是为了技术，主要就是做资本，然后套现跑路
点击填写名字可以继续使用,0,2024/7/17 18:47,几千万的岗位，都去喝西北风吧
聪哥,0,2024/7/17 18:46,没有一千个萝卜也有一千个橘子，什么时候准备好
温暖阳光,0,2024/7/17 18:46,让你车没地方停，你就不开车了，这是最主要的，还有石油控制你的地方多呢，
忘记时间,0,2024/7/17 18:45,就怕某一天被黑客攻击，不知道要失去多少中国人的生命
科达琳( 互),0,2024/7/17 18:42,
小九????,0,2024/7/17 18:40,这么搞下去严重影响民生，失业的人多了，社会问题也就多了，出门都要担心有人报复社会[流泪]
陈永强,0,2024/7/17 18:39,还不给评论，搞笑
共度,0,2024/7/17 18:37,
koby,0,2024/7/17 18:36,这是商业，不是试点，别什么都站在道德制高点，偷换概念。话是说的没错，失业问题确实也是一个问题，但是别啥都想着大锅饭
废旧除尘布袋（周平礼）,0,2024/7/17 18:35,萝卜快跑是为了封杀滴滴
@阿基米瑶,0,2024/7/17 18:30,可以把他八字拿来不，让他知道什么是中国古老科技[抱拳][抱拳][抱拳]
??庄呸呸,0,2024/7/17 18:29,弊大于利，什么都无人，最后变成无人地球多好[白眼]
王明,0,2024/7/17 18:25,科技进步是为了人们生活的更好不是没法生活了
大别山绿茶,0,2024/7/17 18:21,不给低层人留后路，终究是失败的！
Peter 短发玩家,0,2024/7/17 18:19,这个世界越来越恐怖了、都是资本家有钱人的世界了，慢慢地把穷人淘汰掉了，以后可能只剩下有钱人和机器人了。
韭葉,0,2024/7/17 18:17,我支持师傅们，不能饿着他们及他们的家庭，我不反对无人驾驶但我绝对不去坐无人驾驶出租车。
豆,0,2024/7/17 18:17,把城市网约车禁了，全部换成人力三轮车呗！那不是能养活更多人？
???????????????.,0,2024/7/17 18:07,驾驶可以减少犯罪率呀
咖啡猫喝咖啡,0,2024/7/17 18:06,艾公说过了，资本就是要让人失业。看看这几年的就业失业毕业。在来看看现在已经不在统计就业率，就知道有多深了
????芯茹芷氺????,0,2024/7/17 18:05,以后更没人生孩子了
侠骨柔情,0,2024/7/17 18:02,萝卜快跑不是公交车嘛？怎么成了出租车??？
高粱,0,2024/7/17 18:00,只要弄明白一个概念，一切矛盾都能迎刃而解。那就是“出租车司机是小资产阶级”。也就是说这不过是小资产阶级跟大资产阶级的竞争，于普通老百姓有啥关系？[捂脸]
゛Conquer ?,0,2024/7/17 17:52,社会矛盾升级成必然的了
永红江河,0,2024/7/17 17:50,所有能赚钱的活都会被资本家拿走，只是时间问题，普通人阻止不了的
天蝎?,0,2024/7/17 17:45,车已经够多了，好多城市都限号，司机也够多了，现在学车的越来越多，还弄个无人出来，而且还是汽车没什么进步
一生何求,0,2024/7/17 17:44,大势所趋，时代进步，一部分人转岗，势在必行。要想着如何掌握人工智能替代不了的，不是想着为了自己饭碗而阻止国家改变的。
通通闪开,0,2024/7/17 17:41,牛逼！怎么不都换成黄包车
中原一点红,0,2024/7/17 17:38,我们无车无房无存款的平民，支持萝卜快跑，萝卜快跑赶紧加快布局，跑长途，别给平民抢那几块钱的生意了，把高铁干掉，高铁还要打车去高铁站，还要等车，麻烦，萝卜快跑价格便宜又直达，太方便小民了。
秋林拾叶,0,2024/7/17 17:38,普通人如何生存？
小太阳,0,2024/7/17 17:33,人工智能应该去学校教书去医院坐诊[感谢][感谢][感谢][感谢][感谢]
HUI,0,2024/7/17 17:32,等垄断了。你们就等着被宰吧
尘梦如烟啊@&,0,2024/7/17 17:32,如果我要是出行，能打人工车绝不会坐无人驾驶！每个人都是为了生活！
苏薇,0,2024/7/17 17:24,"应该在我们大重庆不会有吧[捂脸]
重庆可是有出了名的黄色法拉利[捂脸]"
长矛沾shi戳谁谁si,0,2024/7/17 17:24,国有的我就坐[赞]
兰哥,0,2024/7/17 17:23,不给人留路，那就无路可走。
李歆,0,2024/7/17 17:21,柿子嘛  一定要挑软的捏
孙永飞,0,2024/7/17 17:04,晚痛不如早痛，谁会花时间等你啊。
l?b?r,0,2024/7/17 17:02,说得好！！！[赞][赞][赞]
福特福克斯,0,2024/7/17 16:58,人机一体化
滚动的蛋,0,2024/7/17 16:58,不止一千万哦
万明,0,2024/7/17 16:53,不是技术要落地，是技术的应用场景要落地，是资源投入的信心要落地，是与国外巨头竞争的速度要落地。也不一定要把所有矛头指向技术的发明者，也可以稍微等等政策的补偿和引导，相信他们的能力，相信会有两全其美的办法
小罗叔叔,0,2024/7/17 16:48,支持无人驾驶，不需要可怜任何人。
静悟,0,2024/7/17 16:48,很好，就这样，搞就完了。
空城、,0,2024/7/17 16:43,如果继续这样下去，无人驾驶，无人工厂，无人商超 ，无人快递，无人外卖，无人酒店，什么都无人，最后无人生孩，最终无人在世……[尬笑][尬笑]
心一,0,2024/7/17 16:38,在怎么说你也拦不住这个趋势
孤傲如月,0,2024/7/17 16:35,这得逼死多少人呀
负重致远,0,2024/7/17 16:35,破坏民生的科技进步，就是资本运作
孤傲如月,0,2024/7/17 16:32,我个人认为不安全 [尬笑][尬笑][尬笑]
鹿先森,0,2024/7/17 16:31,这是垄断。不该发执照。
一路前行,0,2024/7/17 16:27,想到有这么多人要失业，我也不支持萝卜快跑，
宋,0,2024/7/17 16:26,我们更喜欢看AI主播
汉东省公安厅厅长祁同伟,0,2024/7/17 16:21,没这么严重，现在还没普及慌啥，都在这儿怕的要死
天使的选择,0,2024/7/17 16:17,信号被屏蔽，那就找不到路了[捂脸]
海瑶,0,2024/7/17 16:17,怪不得现在的年轻人都不愿生孩子，以后又少了很多岗位[捂脸]
小黄??,0,2024/7/17 16:15,什么时候来绵阳，我必须坐，绵阳出租车素质太低了，拼客，不送到没目的，态度还很差
小小牛,0,2024/7/17 16:05,资本是逐利的，这种闭环是最简单的
小脚冰凉凉,0,2024/7/17 16:03,我只坐公交地铁 出去打车也直接打车
高乐高,0,2024/7/17 16:02,外国资本太多了，要是中国自己的企业也就罢了
运动其乐无穷,0,2024/7/17 16:00,谁坐无人驾驶车谁倒霉
冈东微社区,0,2024/7/17 15:58,信号万一被强屏蔽，无人驾驶会不会在原地待命的呢[呲牙][呲牙][呲牙]
?♀???♀,0,2024/7/17 15:55,时间长了机器不一定安全
！！热,0,2024/7/17 15:52,网约车一定要吃网约车这碗饭？别的吃不了？
...平常心……,0,2024/7/17 15:47,万恶的资本家在把堡垒一步步给打破……
dy7avry9ogsj,0,2024/7/17 15:47,你认知太低了
排寒祛湿,0,2024/7/17 15:42,你说的很对，抢弱势群体的血馒头吃，我打脸[打脸][打脸]
嘿米嘿米,0,2024/7/17 15:35,全砸了[呆无辜]
银飞呀,0,2024/7/17 15:27,商人永远追逐利息，看眼前的钱
一亩三分地,0,2024/7/17 15:25,如果萝卜不快跑，那么特斯拉就会来抢占市场。到时候你跟谁去说理
阿鱼,0,2024/7/17 15:24,BYD还不和李彦宏开战。
美丽大通,0,2024/7/17 15:23,活不下去的师傅会报复社会的[捂脸]
水龙头??,0,2024/7/17 15:20,资本控制了
娟儿姐姐,0,2024/7/17 15:19,马克斯，马上就来抢赞中国市场了，你们怎么阻止它？
???????遗憾,0,2024/7/17 15:13,国内正在转型，普通人就很难
反方向的W,0,2024/7/17 15:11,建议取消工厂自动化，全部改为人工，取消手机电脑，改为报纸写信，建议全面取消空调汽车，改为用手扇风黄包车，建议取消大型农耕用具，改为全人工。这样能增加无数劳动力市场。[微笑][微笑]你真搞笑[尬笑][尬笑]
！！！！,0,2024/7/17 15:11,在这样搞会乱的没工作了去干嘛呢我是真不知道该干什么
????豹哥??????,0,2024/7/17 15:06,5G设备华为行业老大[赞]
hty,0,2024/7/17 15:04,格局小了。只考虑了国内，没考虑外部环境。
张罐罐,0,2024/7/17 15:02,无人驾驶技术为什么不先从警车做起呢？
垫底帅哥,0,2024/7/17 15:01,其实无人驾驶挺好的，控制好数量，还能规范行业，主要还便宜。
?????王炸要不起,0,2024/7/17 15:00,资格证还有用吗
您好,0,2024/7/17 15:00,资本冷血且贪婪！
换表助长,0,2024/7/17 15:00,支持无人主播
潮汕～赵子龙,0,2024/7/17 14:58,该淘汰就淘汰
晚..,0,2024/7/17 14:56,说说特朗普
江北布衣,0,2024/7/17 14:53,大资本家来了！资本像犹太人，最终想要控制世界！
时分,0,2024/7/17 14:53,大势所趋
生活美美哒,0,2024/7/17 14:53,我唯一能做的事就是自己决不因为几块钱去打萝卜，出不起钱就坐地铁公交，这是我个人唯一能给予的支持[九转大肠][九转大肠][比心][比心][比心][比心][玫瑰][玫瑰][玫瑰]
柔禅,0,2024/7/17 14:44,高科技应为人类幸福而生，因为人类痛苦而灭！
柔禅,0,2024/7/17 14:43,高科技应掌控在全心全意为人民服务的善人手中！
终是庄周梦了蝶,0,2024/7/17 14:38,我欢迎它来西安
Jacky,0,2024/7/17 14:36,无人驾驶技术的未来可能在天上。
韦成佑,0,2024/7/17 14:35,没有一个主播敢说的   说白了就是资本家把钱赚钱完了普通人没有工作赚不到养家糊口的钱这个社会怎么平衡
陌上公子,0,2024/7/17 14:23,中国自己不做无人驾驶，外国人也会做，与其让他国做，不如让李彦宏做。
玖玖商贸有限公司,0,2024/7/17 14:12,怎进来？？？
新乡游击队设哥4米2高栏（关注收藏以备急,0,2024/7/17 14:09,吃掉了市场，一切都是他说了算，我是货车司机，货运软件运满满就是这样的[流泪]
Atwood福,0,2024/7/17 14:05,没事有本事的话让他们全部搞人工然后大家一起在家躺平吧，饿不死就行了，饿了国家会管，现在的国家还是强大的应该不会让你饿死
祈言,0,2024/7/17 14:04,不敢想象这个就是用于盲人领域，有多牛逼
阳光富足YO,0,2024/7/17 13:54,这是敌人要从内部搞乱我们
鸡排饭不加蛋,0,2024/7/17 13:53,"今天淘汰出租车，明天就淘汰你，一点危机感都没有，今天他敢用无人驾驶，明天他就敢在更多的地方用人工智能，人类其实有很多方面都能被人工智能取代了，为什么没有？就是考虑到人们的生计问题，你今天敢开这道口子，这道口子就只会越来越大。人工智能是必然的，但需要给人们时间，要慢慢来适应，要时刻考虑到人工智能给人们带来了什么，人工智能只能是更好的服务，而不是取代人"
万佳乐,0,2024/7/17 13:45,萝卜快跑就是给美国收集财富。萝卜快跑的投资者都是美国人。你们可以说我眼光浅短，但事实就是这样。
追风?,0,2024/7/17 13:43,说得对[赞][赞]
斗转星移,0,2024/7/17 13:39,无人驾驶好[赞][赞][赞][赞]交警可以下岗了[呲牙][呲牙][呲牙][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
谈情不如逗狗,0,2024/7/17 13:37,作为一名五年前的出租车司机来说，我支持无人驾驶网约车。我现在是一名货车司机，如果有无人驾驶货车，我被淘汰了，我也无话可说。时代的进步总要有人付出的。
大段小宇哥,0,2024/7/17 13:35,主要的是萝卜快跑便宜阿，这才是老百姓想要的
你在我眼中最美,0,2024/7/17 13:35,要是去农村，去山区呢？
大段小宇哥,0,2024/7/17 13:34,废话，先执行才会越做越好
瑾?年,0,2024/7/17 13:32,科技发展快是必然，跟不上就被淘汰啊，跟不上你还有理了，网约车司机就只会开车？
定国安邦,0,2024/7/17 13:21,对，这样的考虑和科技使用才是我们百姓所需求的！
放下＿不放,0,2024/7/17 13:06,淘汰挑客 拒载的 挺好
Captaincoo,0,2024/7/17 13:06,对，但不能以低价恶意竞争
慕容阿昌,0,2024/7/17 13:05,"无人超市、无人工厂、无人快递、无人外卖、无人网约车、无人酒店、无人银行，无人工地……
无人有工作，无人有饭吃，无人生小孩，无人世界！世界无人！"
明志清远,0,2024/7/17 13:05,啦啦啦啦啦啦啦啦[捂脸]
举个粒子,0,2024/7/17 13:01,解放劳动力但解决不了劳动力吃饭问题
